text,processed,polarity_score,polarity
Menyenangkan. Kamar Luas Bersih Dan Nyaman. Pelayanan Ramah. Breakfast buffet menu lengkap Dan enak. Parkir Luas. Kolam Renang Bersih Dan Besar. Gym 👌. Next nginap di sini lagi.,senang kamar luas bersih nyaman layan ramah breakfast buffet menu lengkap enak parkir luas kolam renang bersih gym next nginap,26,positive
Salah satu tempat staycation terbaik kalo kamu mau kebandung. Dekat dengan braga cukup jalan kaki sekitar 100m. Kamarnya luas. Stafnya super ramah. Makanannya enak semua. Keamanan yang oke. Kuylah,salah staycation kalo bandung braga jalan kaki m kamar luas staf super ramah makan enak aman oke kuylah,14,positive
"Check in nya cepet bangeett dan alhamdulillah dapet free upgrade kamar. Deket ke pusat kota, rasa makanannya enaakk tp sayang kurang variasi aja, stafnya ramah semua. Area pool nya bersih dan staff pool nya siaga trsjd merasa lebih aman, kamar bersih cuma kurang wangi aja barangkali bisa ditambah pewangi ruangan. Overall ini salah satu hotel recommended untuk yang mau nginep deket pusat kota",check in nya cepet bangeett alhamdulillah dapet free upgrade kamar deket pusat kota makan enaakk tp sayang variasi aja staf ramah area pool nya bersih staff pool nya siaga trsjd aman kamar bersih wangi aja barangkali wangi ruang overall salah hotel recommended nginep deket pusat kota,32,positive
Sangat menyenangkan sekali menginap di sini.,senang inap,7,positive
"Kamarnya bersih, nyaman, makanan nya enak.",kamar bersih nyaman makan nya enak,10,positive
Sangat menyenangkan sekalii.,senang,5,positive
"Staff hotel ramah sangat membantu saat check-in, Hotel nyaman bersih ramah keluarga. Makanan enak, menu banyak varian. Ada minimarket yang lengkap di dalam hotel, jadi ndak usah keluar kalo mau beli keperluan ataupun makanan ringan. Lokasi dekat dengan jalan braga, BIP.",staff hotel ramah bantu check in hotel nyaman bersih ramah keluarga makan enak menu varian minimarket lengkap hotel ndak kalo beli makan ringan lokasi jalan braga bip,36,positive
"Lokasi deket jalan Braga kebersihan n kenyaman ok, next nginep lagi di sini.",lokasi deket jalan braga bersih n kenyam ok next nginep,4,positive
"Staf hotel sangat ramah, dapet upgrade kamar yang lebih besar sering-sering aja ya El 😁. Tiap kebandung pasti minapnya di sini. Terima kasih El hotel next pasti minap di sini lagi.",staf hotel ramah dapet upgrade kamar aja ya el bandung map terima kasih el hotel next map,9,positive
Staff nya ramah dan harga yang sangat memuaskan.,staff nya ramah harga muas,13,positive
"Kamar bagus, dapat free ulang tahun. Kolam renang luas.",kamar bagus free ulang kolam renang luas,6,positive
"Staff cepat membantu, kolam renang dan gym luas.",staff cepat bantu kolam renang gym luas,7,positive
"Staf ramah-ramah, makanan enak, kolam renangmya juga enak buat berenang. Cuma kamar condotelnya agak sempit kamar mandinya. Kaya model Apartmen.",staf ramah ramah makan enak kolam renangmya enak renang kamar condotelnya sempit kamar mandi kaya model apartmen,20,positive
Mantap anak² seneng pasti balik lagi.,mantap anak neng,7,positive
Pelayanan hotel bagus dan bersih.,layan hotel bagus bersih,5,positive
"Sering nginap di sini karena staff hotel sangat ramah, makanan sangat enak dan bervariasi. Terima kasih.",nginap staff hotel ramah makan enak variasi terima kasih,16,positive
"Sangat menyenangkan staycation di el hotel bandung. Fasilitasnya lengkap, staff hotelmya juga ramah. Terima kasih elhotel Bandung",senang staycation el hotel bandung fasilitas lengkap staff hotelmya ramah terima kasih elhotel bandung,14,positive
"Pesan 2 kamar tipe condotel studio. Pengalaman Saya selama menginap di sini sangat berkesan dan memuaskan, Pelayanan yang baik serta fasilitas yang bagus. Terima kasih El hotel Bandung",pesan kamar tipe condotel studio alam inap kesan muas layan fasilitas bagus terima kasih el hotel bandung,18,positive
"Bikin betah, kamarnya bersih, nyaman, ac nya mantep. Next aku kesana lagi yaa.",bikin betah kamar bersih nyaman ac nya mantep next kesana yaa,2,positive
"Staf hotel ramah, pelayanannya luar biasa dan makanan nya enak-enak banget ke Braga tinggal jalan kaki pokonya next time pasti balik lagi. Thank you",staf hotel ramah layan makan nya enak enak banget braga tinggal jalan kaki poko next time thank you,21,positive
"Dapet kamar yang d upgrade tanpa biaya tambahan. Lantai kamar dapat tanpa memakai karpet jadi oke banget. Seluruh staf hotel ramah mulai dari receptionis, resto, cleaning service dan lain-lain. Fasilitas kolam renang yang oke, bersih dan nyaman. Recommended! Hatur nuhun El Hotel.",dapet kamar d upgrade biaya lantai kamar pakai karpet oke banget staf hotel ramah receptionis resto cleaning service fasilitas kolam renang oke bersih nyaman recommended hatur nuhun el hotel,15,positive
"+ kamar nyaman rapih, pusat kota,+ jalan jalan ke Braga malam hari seru banget.+kolam renang juga gak dingin paling utama dicari ini.+ stapnya baik-baik, enak dipandang ramah.🥰.- kamar tidak kedap suara.- keramik kolam renang ada yang lepas untuk kolam anak-anak.*saran tolong diperhatikan untuk pihak hotel agar segera diperbaiki karena takut berbahaya 🙏. Overall bagus😍kan lebih banyak + nya pasti soon akan kembali lagi kesini. Terima kasih El royal hotel bandung.",kamar nyaman rapih pusat kota jalan jalan braga malam seru banget kolam renang gak dingin utama cari stapnya enak pandang ramah kamar kedap suara keramik kolam renang lepas kolam anak anak saran tolong perhati hotel takut bahaya overall bagus nya soon kesini terima kasih el royal hotel bandung,15,positive
"Baru pertama kali nginap di sini, bakal nginap di sini lagi kalo ke bandung.",kali nginap nginap kalo bandung,-1,negative
"Puas banget nginep di sini. Staff sangat ramah, kamar sangat nyaman dan bersih. Breakfast pun makanan nya sangat enak. Request untuk city view dikasih beneran dong😁 minus nya hanya security nya saja kurang ramah dan kurang inisiatif. Saya baru pertama kali nginap di sini dan kebingungan masalah tempat parkir untuk motor, nanya security tapi jawaban nya jutek dan ketus. Itu aja sih kekurangannya, selebihnya good semua. Thank you El Hotel Bandung semoga next time bisa nginep di sini lagi☺️🙏🏻",puas banget nginep staff ramah kamar nyaman bersih breakfast makan nya enak request city view kasih beneran minus nya security nya ramah inisiatif kali nginap bingung parkir motor nanya security nya jutek ketus aja sih good thank you el hotel bandung moga next time nginep,23,positive
"Sangat menyenangkan dan recommended buat berlibur, karena tempatnya Deket dari braga.",senang recommended libur deket braga,9,positive
"Staff Hotel semua sangat ramah, kebersihan terjaga.",staff hotel ramah bersih jaga,8,positive
"Pool besar dan ada pool dewasa & anak, pilihan condotel atau hotel, akses near braga street. Ramah dan nyaman untuk family",pool pool dewasa anak pilih condotel hotel akses near braga street ramah nyaman family,9,positive
Hotel yang family friendly khusunya yang condotelny,hotel family friendly khusunya condotelny,1,positive
Untuk ke 2 kali nya menginap di sini dan tetap puas dengan pelayanan serta fasilitas yang ada di hotel ini. Kamar bersih staff nya semuanya ramah dan lokasi nya dekat dengan braga yang utama ke hotel ini karena anak ku senang bisa lihat kereta lewat,kali nya inap puas layan fasilitas hotel kamar bersih staff nya ramah lokasi nya braga utama hotel anak ku senang lihat kereta,17,positive
Staff hotel ramah dan sangat membantu. Breakfast variatif dan rasanya lumayan enak.,staff hotel ramah bantu breakfast variatif lumayan enak,15,positive
"Ada 2 area breakfast di lobby lt1 dan lantai 4 dekat kolam renang, tapi menurut saya yang nyaman di lantai 4 karena areanya semi outdoor. Menu cukup variatif. Letak strategis dekat kawasan Braga cukup jalan kaki sj. Area parkir luas. Staff cukup ramah dan kooperatif.",area breakfast lobby lt lantai kolam renang nyaman lantai area semi outdoor menu variatif letak strategis kawasan braga jalan kaki sj area parkir luas staff ramah kooperatif,13,positive
Tempatnya nyaman luas fasilitas cukup lengkap~ de best deh~,nyaman luas fasilitas lengkap de best deh,11,positive
"Semua staff sangat ramah, kamar bersih wangi dan semua request yang dituliskan dikabulkan. Ah makasi el 💕.",staff ramah kamar bersih wangi request tulis kabul ah makas el,6,positive
"Recommended deh. Lokasi strategis, jalan kaki bisa ke braga.",recommended deh lokasi strategis jalan kaki braga,0,neutral
"Semoga bisa dapat promo khusus, supaya nanti bisa ke el royal lagi.",moga promo khusus el royal,1,positive
Sudah beberapa kali saya menginap di El Hotel. Secara keseluruhan saya suka menginap di sini. Recommended.,kali inap el hotel suka inap recommended,5,positive
"View dari kamar lantai 9, kelihatan gunung dan kota bandung.",view kamar lantai gunung kota bandung,-2,negative
"Kesekian kalinya menginap di El Hotel Bandung, sekalipun pesannya pas dijalan karena dadakan kebandung, selalu berkesan menyenangkan menginap di sini dalam hal apapun, terima kasih El Hotel Bandung & aplikasi.",sekian kali inap el hotel bandung pesan pas jalan dada bandung kesan senang inap terima kasih el hotel bandung aplikasi,7,positive
Hotel bintang 4 terbaik dari sisi pelayanan dan lokasi hingga makanan. Akan datang lagi ke hotel ini.,hotel bintang sisi layan lokasi makan hotel,5,positive
"Staff hotel nya sangat ramah banget, enggak cukup cuma sekali nginep saja.",staff hotel nya ramah banget nginep,7,positive
"Brongkosnya seger n sambelnya enak, bread puding enak ga enek meskipun menurut saya terlalu manis. Yang terpenting bersih n udara yang keluar dari ac ga apek. Stafnya ramah semua bahkan anak aku mau ke toilet pas lagi sarapan dianter. Makasih buat Mbak rambut pendek yang ada area breakfast lupa namanya.",brongkos seger n sambelnya enak bread puding enak ga enek manis bersih n udara ac ga apek staf ramah anak toilet pas sarap anter makasih mbak rambut pendek area breakfast lupa nama,17,positive
"Breakfast banyak pilihan, rasanya pun enak-enak. Pelayanan baik, staff ramah-ramah",breakfast pilih enak enak layan staff ramah ramah,20,positive
"Luar biasa. Mantap. Asyrk dan nyaman, bersih.",mantap asyrk nyaman bersih,9,positive
Alhamdulillah nginap di el hotel bandung sangat nyaman sekali. Untuk pelayanannya sangat baik sekali. Untuk makanannya luar biasa sangat lezat baik room service dan breakfastnya. Insya allah saya sekeluarga akan menginap kembali di sini.,alhamdulillah nginap el hotel bandung nyaman layan makan lezat room service breakfastnya insya allah keluarga inap,25,positive
"Hotelnya keren banget, terutama kamar condotel nya, dekat dengan braga, dekat ke stasiun, cocok banget buat liburan sama. Keluarga, bakalan kesana lagi nanti. Top banget.",hotel keren banget kamar condotel nya braga stasiun cocok banget libur keluarga kesana top banget,20,positive
"Vibesnya kayak hotel bintang 5 yang megah tp versi agak jadul, so far kenyamanan bermalam tidak ada yang mengecewakan karena dkt dengan pusat keramaian di Braga (cukup jalan kaki 5 menit). Pelayan ramah. Hanya saja pas tamu ramai banget kewalahan menyiapkan breakfast padahal hotel sudah buka 4 lokasi resto. Banyak banget peminat di hotel ini. Sudah pasti approve untuk bermalam di sini lagi dilain kesempatan.",vibesnya kayak hotel bintang megah tp versi jadul so far nyaman malam kecewa dkt pusat ramai braga jalan kaki menit layan ramah pas tamu ramai banget kewalahan breakfast hotel buka lokasi resto banget minat hotel approve malam,24,positive
"Pelayanan sangat bagus, tiap ke Bandung pasti nginap di sini, lokasi di tengah Kota, sangat dekat dengan Braga, Gereja Katedral dan Stasiun Bandung. Pokoke sangat superr, sangat recommended",layan bagus bandung nginap lokasi kota braga gereja katedral stasiun bandung pokoke superr recommended,1,positive
"Pertama kali menginap di El hotel ini, kami semua cukup puas, kamarnya luas dan bersih, handuk-handuk nya juga bersih dan putih, kolam renang hangat jadi kita udah berenang jam 6 pagi. Dekat kemana-mana ke braga tinggal jalan kaki di sana sudah pusat makanan. Pokoknya klw ke bandung lagi akan menginap di sini",kali inap el hotel puas kamar luas bersih handuk handuk nya bersih putih kolam renang hangat udah renang jam pagi braga tinggal jalan kaki pusat makan pokok klw bandung inap,15,positive
"Sampe dihotel, semua crew ramah² sekali. Kamarpun wow banget, luas dan ada bathupnya, makanan ga ada yang failed, kolam renang best",sampe hotel crew ramah kamar wow banget luas bathupnya makan ga failed kolam renang best,9,positive
Salah satu hotel pilihan kalo lagi dibandung👍,salah hotel pilih kalo bandung,-6,negative
"Menginap di sini adalah pilihan yang terbaik. Saya staycation di sini selama 2 hari dan memilih tipe yang condotel, yang memiliki kamar yang luas dan kamar mandi bathtub. Kolam renangnya sangat luas dan ada air hangat sehingga anak saya sangat senang berenang.",inap pilih staycation pilih tipe condotel milik kamar luas kamar mandi bathtub kolam renang luas air hangat anak senang renang,9,positive
"Langganan staycation di sini, selalu puas.",langgan staycation puas,5,positive
"Terima kasih El Hotel sudah membuat liburan saya & keluarga menyenangkan. Hotelnya sangat nyaman & bersih, semua fasilitas di hotel ini bisa gunakan dengan baik. Apalagi untuk kolam renangnya air hangat, saya & keluarga sangat suka bisa berendam tanpa takut kedinginan. Pastinya saya akan ksini lagi 🥰",terima kasih el hotel libur keluarga senang hotel nyaman bersih fasilitas hotel kolam renang air hangat keluarga suka rendam takut dingin ksini,35,positive
Hotel bagus ramah dikantong. Pelayanan cepat wlwpun lagi liburan panjang. Kolam renangnya besar dan ada kolam air hangatny. Rekomen untuk yang bawa anak-anak.,hotel bagus ramah kantong layan cepat wlwpun libur kolam renang kolam air hangatny rekomen bawa anak anak,6,positive
Bagus banget pelayanan dan tempatnya.,bagus banget layan,5,positive
"Tempat menginap yang nyaman dan lokasi yang strategis. Positif: dekat braga, view kamar bagus, sarapan paginya enak, staff hotel ramah. Negatif: kurang suka kamar mandi bathtub yang masih model lama, tidak ada kids club atau playground.",inap nyaman lokasi strategis positif braga view kamar bagus sarap pagi enak staff hotel ramah negatif suka kamar mandi bathtub model kids club playground,33,positive
"Nyaman, Pelayanan Ramah, Sarapan enak",nyaman layan ramah sarap enak,19,positive
"Kamar bagus, makanan enak, bakal balik lagi hehe.",kamar bagus makan enak hehe,8,positive
"Hotelnya nyaman, semua pelayanannya ramah dan baik recommend banget buat liburan hotelnya.",hotel nyaman layan ramah recommend banget libur hotel,17,positive
Tempatnya yang sangat strategis di tengah kota jadi mudah kemana saja. Dan yang pasti hotelnya keren banget.,strategis kota mudah hotel keren banget,5,positive
"Worth it banget! 🙌🏻🌷. InsyaAllah kalo ke Bandung bakal nginep di sini lagi, makanannya enak-enak🫶🏻.",worth it banget insyaallah kalo bandung nginep makan enak enak,13,positive
"Perfect. Untuk kesekian kalinya nginap di sini, tetap menjadi pilihan pertama untuk staycation di Bandung, saya memilih tipe condotel biar kamarnya luas, kamar mandinya ada bathtub, air panasnya lancar, kolam renang besar, makanan enak, dekat ke jalan Braga buat malem-malem kulineran, pokoknya terbaik.",perfect sekian kali nginap pilih staycation bandung pilih tipe condotel biar kamar luas kamar mandi bathtub air panas lancar kolam renang makan enak jalan braga malem malem kuliner pokok,11,positive
"Pelayananan oke, makanan enak, kamarnya ok.",pelayananan oke makan enak kamar ok,12,positive
"Sangat cocok untuk family staycation, el royale selalu jadi pilihan favorite keluarga kami, breakfast nya juga enak-enak fasilitas dan lain-lain tidak perlu diragukan lagi the best pokoknya🥰.",cocok family staycation el royale pilih favorite keluarga breakfast nya enak enak fasilitas ragu the best pokok,19,positive
"Kami menginap pada libur natal kemaren, kamar luas dan nyaman, menu breakfast enak, dan kerennya mereka memindahkan resto ke ballroom supaya bisa menampung tamu hotel yang banyak, dan makanan pun tidak pernah habis², kalau ke bandung pasti akan menginap lagi di sini karena aksesnya dekat kemana².",inap libur natal kemaren kamar luas nyaman menu breakfast enak keren pindah resto ballroom tampung tamu hotel makan habis bandung inap akses,27,positive
"Kamarnya nyaman banget, pencahayaan kamarnya keren, jadi betah di kamar.",kamar nyaman banget cahaya kamar keren betah kamar,5,positive
"Pelayanannya ramah, kamar bagus dan sesuai pesanan, kemana-mana juga dekat.",layan ramah kamar bagus sesuai pesan,14,positive
Menyenangkan menginap di sini ❤ Terima Kasih.,senang inap terima kasih,11,positive
"Lokasi strategis, dekat Braga, kamar hotel luas dengan fasilitas yang memuaskan, breakfast juga enak dan pilihan menunya banyak, cuman waktu itu saya baru bisa masuk hotel pukul 16.00 mungkin karena lagi musim liburan.",lokasi strategis braga kamar hotel luas fasilitas muas breakfast enak pilih menu cuman masuk hotel musim libur,15,positive
Kami sekeluarga sangat menikmati menginap di El Hotel Bandung. Secara keseluruhan semuanya baik. Recommended. Oke deh pokoknya.,keluarga nikmat inap el hotel bandung recommended oke deh pokok,11,positive
"Udah pasti nginep di sini kalo ke Bandung dan kali ini dapet upgrade kamar di deluxe ke executive tanpa biaya tambahan, untuk fasilitas dan layanan semuanya selalu baik",udah nginep kalo bandung kali dapet upgrade kamar deluxe executive biaya fasilitas layan,5,positive
"Tempat nyaman, fasilitas oke semua. Have a great staycation here! 🥰.",nyaman fasilitas oke have a great staycation here,11,positive
"Pelayanan ramah, kamar luas dan bersih.",layan ramah kamar luas bersih,10,positive
"Tempat strategis, pelayanan ramah, menu sarapan banyak, hotel bersih. 👍.",strategis layan ramah menu sarap hotel bersih,11,positive
"Ya. Kesekian kali nya, sudah tak terhitung lagi menginap dan menghabiskan waktu di El Hotel bandung, sangat nyaman untuk bawa keluarga, roomnya besar dan nyaman, pelayan roo servicenya gercep dan ramah, rapi customer service nya justru kurang frendly, makan nya enak semua, tapi tidak pernah ada lontong sayur. Kolam renangnya juga besar. Ok banget. Dan tidak perlu ke yang lain El Hotel Bandung pilihan terbaik 👌 thx.",ya sekian kali nya hitung inap habis el hotel bandung nyaman bawa keluarga roomnya nyaman layan roo servicenya gercep ramah rapi customer service nya frendly makan nya enak lontong sayur kolam renang ok banget el hotel bandung pilih thx,34,positive
"Hotel bagus, staf ramah, kamar besar, fasilitas lengkap dan yang paling utama adalah menu breakfast enak pake banget + ada ketan hitam😍.",hotel bagus staf ramah kamar fasilitas lengkap utama menu breakfast enak pake banget ketan hitam,14,positive
Selalu puas dengan fasilitas hotel.,puas fasilitas hotel,6,positive
"Staycation di sini worth to try sih. Best! Pelayanan ramah. Kamarnya pun wangi dan bersih. AC dingin. Air di kamar mandi pun lancar, jadi isi bathub hanya butuh beberapa menit saja. Breakfast nya juga enak, banyak macamnya, apalagi mixed juice enak banget! Fasilitas kolam renangnya pun baik, ada kolam air panasnya, dikasih handuk juga untuk berenang.",staycation worth to try sih best layan ramah kamar wangi bersih ac dingin air kamar mandi lancar isi bathub butuh menit breakfast nya enak mixed juice enak banget fasilitas kolam renang kolam air panas kasih handuk renang,29,positive
"Saya selalu menginap di El Hotel kalo ke Bandung, kamarnya luas, bersih, sarapannya selalu enak, terima kasih El Hotel & aplikasi saya akan datang lagi di lain waktu.",inap el hotel kalo bandung kamar luas bersih sarap enak terima kasih el hotel aplikasi,8,positive
"Sudah tak terhitung berapa kali kami sekeluarga menginap di el bandung. Pokoknya setiap liburan atau business trip ke Bandung tujuan kami pulang ya ke el Bandung. Btw, terima kasih banyak atas fasilitas dan layanan terbaik untuk kami sekeluarga, terutama anak-anak happy banget. Tunggu kami di next vacation and bussines trip yaa. ♥️",hitung kali keluarga inap el bandung pokok libur business trip bandung tuju pulang ya el bandung btw terima kasih fasilitas layan keluarga anak anak happy banget tunggu next vacation and bussines trip yaa,22,positive
"Selalu jadi pilihan favorit keluarga. 1. Lokasi di tengah kota. 2. Fasilitas dan kebersihan yang baik. 3. Makanan yang enak dan variasinya banyak. 4. Cocok untuk family trip, punya pool yang besar dan tersedia juga untuk anak. 5. Friendly prices 😁.",pilih favorit keluarga lokasi kota fasilitas bersih makan enak variasi cocok family trip pool sedia anak friendly prices,12,positive
"Letak hotel di tengah kota Bandung. Kamarnya luas. Pelayanan sangat baik request untuk dekat dengan akses kolam renang di approve, makanan enak dan banyak variasinya serta terima kasih kepada manager/SPV & FDA/GSA yang sigap & cekatan dengan membuka counter check in tambahan yang pada saat itu situasi crowded banget dan antrian sudah mulai panjang di main receptionist dimana saat itu juga berbarengan dengan event wisuda sehingga proses check in kami bisa diproses dengan cepat.",letak hotel kota bandung kamar luas layan request akses kolam renang approve makan enak variasi terima kasih manager spv fda gsa sigap cekat buka counter check in situasi crowded banget antri main receptionist bareng event wisuda proses check in proses cepat,36,positive
"Saya dan keluarga sangat menikmati staycation, makanan nya enak, bersih dan nyaman, kolam renang nya ada air hangat juga bisa melemaskan otot-otot yang pegal.",keluarga nikmat staycation makan nya enak bersih nyaman kolam renang nya air hangat lemas otot otot pegal,15,positive
Sangat nyaman ruangannya cukup luas dan bersih.,nyaman ruang luas bersih,4,positive
"Menginap 3d 2n, hotel bersih dan cukup nyaman, deket ke braga, kemana-mana deket, menu sarapan banyak pilihan dan enak. Walau tamu hotel saat itu lagi ramai ya karena ada acara moge, wedding dan lain-lain, namun pelayanan hotel tetap oke. Next akan menginap lagi ke El Royal Hotel.",inap d n hotel bersih nyaman deket braga deket menu sarap pilih enak tamu hotel ramai ya acara moge wedding layan hotel oke next inap el royal hotel,26,positive
"Saya nginep 2 malam 3 kamar menghadiri wisuda anak di Bandung. MasyaAllah kamarnya bersih, bantal kasur handuk bersih. Pelayanannya ramah dan cepet, bolak balik pinjem setrika gercep deh. Kolamnya bersih dan luas. Sarapannya enak dan variasinya banyak. Dan ini nih yang paling oke: kamar kita di upgrade ke lantai 19. For sure kita bakal balik nginep lagi di sini deh. El Hotel Bandung keren!",nginep malam kamar hadir wisuda anak bandung masyaallah kamar bersih bantal kasur handuk bersih layan ramah cepet bolak pinjem setrika gercep deh kolam bersih luas sarap enak variasi nih oke kamar upgrade lantai for sure nginep deh el hotel bandung keren,9,positive
Makanannya mantap. Kamar nya keren. Nyaman.,makan mantap kamar nya keren nyaman,10,positive
Hotelnya sangat bagus dan bersih. Untuk petugas stafnya juga ramah-ramah. Kamarnya pun sangat bersih. Untuk parkiran mobil pun luas dan di dalam sehingga mobil tidak terjemur matahari dan kehujanan. Untuk sarapannya juga menunya enak-enak. Sangat puas menginap di sini.,hotel bagus bersih tugas staf ramah ramah kamar bersih parkir mobil luas mobil jemur matahari hujan sarap menu enak enak puas inap,39,positive
Kamarnya oke nyaman bersih unk breakfast nya juga banyak variasi dan enak-enak.,kamar oke nyaman bersih unk breakfast nya variasi enak enak,16,positive
"Kamar nyaman, bersih, dan pelayanan ramah. Mantaplah pokoknya.",kamar nyaman bersih layan ramah mantap pokok,19,positive
"Tempat nya enak untuk keluarga, nyaman, makanan enak, sayangnya saya sempat mendapatkan kamar yang telah ada tamu yang menginap, saya berharap agar dapat ditingkatkan lagi pada pencatatan pada setiap kamar yang telah terisi. Terima kasih overall verry happy.",nya enak keluarga nyaman makan enak sayang kamar tamu inap harap tingkat catat kamar isi terima kasih overall verry happy,39,positive
"Hotel langganan kalau setiap ke Bandung dan ini ke 3x menginap bersama keluarga, dari segi breakfast, kamar yang oke",hotel langgan bandung x inap keluarga segi breakfast kamar oke,6,positive
"Setiap ke Bandung selalu nginep di eL, udah terlalu nyaman sih keluarga ku di eL Hotel. Udah gitu mau jalan-jalan pun dekat sekali kemana-mana. Staff nya pun sangat friendly dan hangat kepada tamu. Ke Bandung, ya selalu pulang ke eL Hotel Bandung ♥️❤️",bandung nginep el udah nyaman sih keluarga ku el hotel udah gitu jalan jalan staff nya friendly hangat tamu bandung ya pulang el hotel bandung,6,positive
"Saya dan keluarga senang menginap di sini selama berlibur di Bandung, check in mudah dan cepat, sangat dekat dengan Jalan Braga, tinggal jalan kaki, bisa request lantai yang tinggi dan view kolam renang, sehingga ketika anak & suami renang saya bisa beristirahat di kamar dan tetap bisa melihat dari kamar dan sangat jelas, kolam renang bagus dan ada kolam air hangatnya, kamar luas dan bersih, petugas baik dan ramah, makanan banyak variasi dan enak, untuk anak saya usia 10th sudah dikenakan charge 75rb, tidak sebanding dengan menu yang diambil anak, yang hanya telur dan bubur ayam🤭 tapi ga apa-apa. Overall puas menginap di sini. Terima kasih",keluarga senang inap libur bandung check in mudah cepat jalan braga tinggal jalan kaki request lantai view kolam renang anak suami renang istirahat kamar kamar kolam renang bagus kolam air hangat kamar luas bersih tugas ramah makan variasi enak anak usia th kena charge rb banding menu ambil anak telur bubur ayam ga overall puas inap terima kasih,27,positive
"Memuaskan kamar bersih besar dan nyaman, makanannya the best bakal balik lagii sepertinya, thxyou.",muas kamar bersih nyaman makan the best thxyou,10,positive
"Selalu nginep di sini salah satunya, harga tidak terlalu mahal tapi fasilitas super, kamar oke, makanan sarapan oke, kolam renang oke, bangunan hotel oke, semua oke.",nginep salah harga mahal fasilitas super kamar oke makan sarap oke kolam renang oke bangun hotel oke oke,18,positive
"Tempat nyaman, staff ramah semua, untuk tambahan sarapan anak +75 udah termasuk murah, menu bervariatif dan enak hanua dibakwan jagung aja tepung ketebalan 😁. Lokasi dekat beraga+alun-alun bandung asal kuat jalanya ☺.",nyaman staff ramah sarap anak udah murah menu variatif enak hanua bakwan jagung aja tepung tebal lokasi aga alun alun bandung kuat jala,22,positive
"Enak nyaman nginap di el hotel bandung, makanan juga enak enak, terima kasih El hotel bandung.",enak nyaman nginap el hotel bandung makan enak enak terima kasih el hotel bandung,18,positive
"Selalu menyenangkan stay di eL Hotel, kamar selalu bersih, makanan selalu enak, fasilitas jangan ditanya komplit banget, mini market, ATM, kolam renang, gym juga ada, harga kamar ramah dikantong, ke Braga juga dekat tinggal jalan kaki, sukses selalu buat eL Hotel Bandung.",senang stay el hotel kamar bersih makan enak fasilitas komplit banget mini market atm kolam renang gym harga kamar ramah kantong braga tinggal jalan kaki sukses el hotel bandung,20,positive
"Staf ramah, kamar bersih, makanan enak.",staf ramah kamar bersih makan enak,11,positive
